@RELATION training_keyboard

@ATTRIBUTE positionX NUMERIC
@ATTRIBUTE positionY NUMERIC
@ATTRIBUTE numGhosts NUMERIC
@ATTRIBUTE alive1 {True, False}
@ATTRIBUTE alive2 {True, False}
@ATTRIBUTE alive3 {True, False}
@ATTRIBUTE alive4 {True, False}
@ATTRIBUTE position1X NUMERIC
@ATTRIBUTE position1Y NUMERIC
@ATTRIBUTE position2X NUMERIC
@ATTRIBUTE position2Y NUMERIC
@ATTRIBUTE position3X NUMERIC
@ATTRIBUTE position3Y NUMERIC
@ATTRIBUTE position4X NUMERIC
@ATTRIBUTE position4Y NUMERIC
@ATTRIBUTE distance1 NUMERIC
@ATTRIBUTE distance2 NUMERIC
@ATTRIBUTE distance3 NUMERIC
@ATTRIBUTE distance4 NUMERIC
@ATTRIBUTE distanceNearestFood NUMERIC
@ATTRIBUTE actualScore NUMERIC
@ATTRIBUTE foodCount NUMERIC
@ATTRIBUTE movement {Stop, South, East, West, North}
@ATTRIBUTE nextScore NUMERIC
@ATTRIBUTE nextNumGhost NUMERIC
@ATTRIBUTE nextFoodCount NUMERIC

@data
12,10,4,True,True,True,True,5,6,5,12,13,6,13,12,11,9,5,3,7,-2,1,Stop,-3,4,1
12,10,4,True,True,True,True,5,6,5,12,13,6,13,12,11,9,5,3,7,-3,1,Stop,-4,4,1
12,10,4,True,True,True,True,5,6,5,12,13,6,13,12,11,9,5,3,7,-4,1,Stop,-5,4,1
12,10,4,True,True,True,True,5,6,5,12,13,6,13,12,11,9,5,3,7,-5,1,Stop,-6,4,1
13,10,4,True,True,True,True,5,6,5,12,13,6,13,12,12,10,4,2,6,-6,1,East,-7,4,1
13,11,4,True,True,True,True,5,6,5,12,13,6,13,12,13,9,5,1,7,-7,1,North,192,3,1
13,12,3,True,True,True,False,5,6,5,12,13,6,7,1,14,8,6,-1,8,192,1,North,191,3,1
13,13,3,True,True,True,False,5,6,5,12,13,6,7,1,15,9,7,-1,9,191,1,North,190,3,1
12,13,3,True,True,True,False,5,6,5,12,13,6,7,1,14,8,8,-1,10,190,1,West,189,3,1
11,13,3,True,True,True,False,5,6,5,12,13,6,7,1,13,7,9,-1,11,189,1,West,188,3,1
10,13,3,True,True,True,False,5,6,5,12,13,6,7,1,12,6,10,-1,12,188,1,West,187,3,1
9,13,3,True,True,True,False,5,6,5,12,13,6,7,1,11,5,11,-1,13,187,1,West,186,3,1
8,13,3,True,True,True,False,5,6,5,12,13,6,7,1,10,4,12,-1,14,186,1,West,185,3,1
