@relation training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-26

@attribute positionX numeric
@attribute positionY numeric
@attribute numGhosts numeric
@attribute alive1 {True,False}
@attribute alive2 {True,False}
@attribute alive3 {True,False}
@attribute alive4 {True,False}
@attribute position1X numeric
@attribute position1Y numeric
@attribute position2X numeric
@attribute position2Y numeric
@attribute position3X numeric
@attribute position3Y numeric
@attribute position4X numeric
@attribute position4Y numeric
@attribute distance1 numeric
@attribute distance2 numeric
@attribute distance3 numeric
@attribute distance4 numeric
@attribute distanceNearestFood numeric
@attribute actualScore numeric
@attribute foodCount numeric
@attribute movement {Stop,South,East,West,North}

@data
12,10,4,True,True,True,True,4,6,5,13,14,6,13,12,12,10,6,4,7,-1,1,Stop
12,10,4,True,True,True,True,4,7,5,12,15,6,13,13,11,9,7,3,7,-2,1,Stop
12,10,4,True,True,True,True,4,6,5,13,14,6,13,12,12,10,6,3,7,-3,1,Stop
12,10,4,True,True,True,True,4,6,4,13,14,5,13,12,12,11,7,2,7,-4,1,Stop
12,10,4,True,True,True,True,4,7,5,13,14,4,12,12,11,10,8,3,7,-5,1,Stop
13,10,4,True,True,True,True,4,7,5,14,14,4,11,12,12,12,7,3,6,-6,1,East
14,10,4,True,True,True,True,4,6,5,13,14,3,12,12,14,12,7,3,5,-7,1,East
14,11,4,True,True,True,True,4,6,5,14,13,3,12,11,15,12,9,3,6,-8,1,North
14,12,4,True,True,True,True,4,7,4,14,12,3,12,12,15,12,11,2,7,-9,1,North
13,12,4,True,True,True,True,4,7,4,14,12,4,12,12,14,11,9,2,8,-10,1,West
12,12,4,True,True,True,True,3,7,5,14,12,5,12,13,14,9,7,2,9,-11,1,West
11,12,4,True,True,True,True,3,6,6,14,11,5,13,13,14,7,7,2,10,-12,1,West
10,12,4,True,True,True,True,3,7,6,13,10,5,13,12,12,5,7,3,11,-13,1,West
9,12,4,True,True,True,True,3,6,6,12,10,6,13,12,12,3,7,5,12,-14,1,West
9,13,4,True,True,True,True,3,6,6,13,10,7,13,13,13,3,7,5,13,-15,1,North
9,14,4,True,True,True,True,4,6,5,13,11,7,13,14,13,5,9,5,14,-16,1,North
9,13,4,True,True,True,True,4,7,6,13,10,7,13,13,11,3,7,3,13,-17,1,South
9,12,4,True,True,True,True,5,7,6,12,10,7,12,13,9,3,6,5,12,-18,1,South
10,12,4,True,True,True,True,5,8,7,12,10,8,12,14,9,3,4,4,11,-19,1,East
11,12,4,True,True,True,True,6,8,6,12,9,8,12,14,9,5,6,4,10,-20,1,East
12,12,4,True,True,True,True,6,8,7,12,9,9,13,14,10,5,6,2,9,-21,1,East
12,13,4,True,True,True,True,6,8,8,12,8,9,12,14,11,5,8,2,10,-22,1,North
12,14,3,True,True,True,False,7,8,9,12,8,9,11,14,11,5,9,-1,11,177,1,North
12,14,3,True,True,True,False,6,8,9,11,9,9,7,1,12,6,8,-1,11,176,1,North
13,14,3,True,True,True,False,5,8,10,11,9,10,7,1,14,6,8,-1,10,175,1,East
14,14,3,True,True,True,False,5,8,11,11,9,10,7,1,15,6,9,-1,9,174,1,East
15,14,3,True,True,True,False,6,8,11,10,9,10,7,1,15,8,10,-1,8,173,1,East
