@relation 'training_keyboard-weka.filters.unsupervised.attribute.Remove-R8-19,29,31,33-35'

@attribute positionX numeric
@attribute positionY numeric
@attribute numGhosts numeric
@attribute alive1 {True,False}
@attribute alive2 {True,False}
@attribute alive3 {True,False}
@attribute alive4 {True,False}
@attribute nearestGhostUp {True,False}
@attribute nearestGhostDown {True,False}
@attribute nearestGhostLeft {True,False}
@attribute nearestGhostRight {True,False}
@attribute angleClosestGhost numeric
@attribute hasWallEast {True,False}
@attribute hasWallSouth {True,False}
@attribute hasWallWest {True,False}
@attribute hasWallNorth {True,False}
@attribute actualScore numeric
@attribute movement {Stop,South,East,West,North}

@data
4,12,4,True,True,True,True,False,True,False,True,324,False,False,False,True,-1,Stop
4,12,4,True,True,True,True,False,True,False,True,328,False,False,False,True,-2,Stop
4,12,4,True,True,True,True,False,True,False,True,328,False,False,False,True,-3,Stop
4,12,4,True,True,True,True,False,True,False,True,331,False,False,False,True,-4,Stop
4,11,4,True,True,True,True,False,True,False,True,336,False,False,False,False,-5,South
4,10,4,True,True,True,True,False,True,False,True,342,False,False,False,False,-6,South
5,10,4,True,True,True,True,False,True,False,True,346,False,False,False,False,93,East
6,10,4,True,True,True,True,False,True,False,True,352,False,False,False,False,192,East
7,10,4,True,True,True,True,False,True,False,True,351,False,False,False,False,291,East
7,9,4,True,True,True,True,True,False,False,True,9,False,False,False,False,390,South
8,9,4,True,True,True,True,False,False,False,True,0,False,False,False,False,489,East
9,9,4,True,True,True,True,False,True,False,True,346,False,False,False,False,588,East
10,9,4,True,True,True,True,False,False,False,True,0,False,False,False,False,687,East
11,9,4,True,True,True,True,False,False,False,True,0,False,False,False,False,686,East
11,8,4,True,True,True,True,False,True,False,True,297,False,False,False,False,785,South
11,7,4,True,True,True,True,False,True,False,True,315,False,False,False,False,784,South
12,7,4,True,True,True,True,False,True,False,False,270,False,False,False,False,883,East
13,7,4,True,True,True,True,True,False,False,False,90,False,False,False,False,882,East
13,6,4,True,True,True,True,True,False,False,False,90,False,False,False,False,881,South
12,6,4,True,True,True,True,False,True,True,False,225,False,False,False,False,880,West
11,6,4,True,True,True,True,False,True,False,False,270,False,False,False,False,879,West
11,5,4,True,True,True,True,False,True,False,False,270,False,False,False,False,978,South
11,4,4,True,True,True,True,False,True,False,False,270,False,False,False,False,1077,South
11,3,4,True,True,True,True,False,False,True,False,180,False,True,False,False,1076,South
11,3,4,True,True,True,True,False,False,True,False,180,False,True,False,False,1075,Stop
10,3,4,True,True,True,True,False,False,True,False,180,False,True,False,False,1174,West
9,3,4,True,True,True,True,False,False,True,False,180,False,True,False,False,1173,West
8,3,3,False,True,True,True,True,False,False,True,41,False,True,False,False,1472,West
7,3,3,False,True,True,True,True,False,False,True,42,False,True,False,False,1571,West
7,4,3,False,True,True,True,True,False,False,True,41,False,False,False,False,1670,North
8,4,3,False,True,True,True,True,False,False,True,41,False,False,False,False,1669,East
9,4,3,False,True,True,True,True,False,False,True,45,False,False,False,False,1668,East
10,4,3,False,True,True,True,True,False,False,True,50,False,False,False,False,1767,East
10,5,3,False,True,True,True,True,False,False,True,50,False,False,False,False,1866,North
10,6,3,False,True,True,True,True,False,False,True,45,False,False,False,False,1965,North
10,7,3,False,True,True,True,True,False,False,True,31,False,False,False,False,2064,North
10,8,3,False,True,True,True,True,False,False,True,18,False,False,False,False,2163,North
11,8,3,False,True,True,True,True,False,False,True,31,False,False,False,False,2162,East
12,8,3,False,True,True,True,True,False,False,True,31,False,False,False,False,2261,East
13,8,3,False,True,True,True,True,False,False,True,45,False,False,False,False,2260,East
14,8,3,False,True,True,True,True,False,False,True,63,False,False,False,False,2259,East
14,9,3,False,True,True,True,True,False,False,True,34,False,False,False,False,2258,North
14,10,3,False,True,True,True,True,False,False,True,18,False,False,False,False,2257,North
14,11,3,False,True,True,True,False,False,False,True,0,False,False,False,False,2256,North
15,11,3,False,True,True,True,False,False,False,True,0,False,False,False,False,2355,East
16,11,3,False,True,True,True,False,True,False,False,270,False,False,False,False,2454,East
17,11,2,False,False,True,True,True,False,False,False,90,False,False,False,False,2753,East
18,11,2,False,False,True,True,True,False,True,False,153,False,False,False,False,2752,East
18,12,2,False,False,True,True,False,False,True,False,180,False,False,False,True,2851,North
17,12,2,False,False,True,True,False,False,True,False,180,False,False,False,True,2950,West
16,12,1,False,False,False,True,False,True,False,True,342,False,False,False,True,3149,West
15,12,1,False,False,False,True,False,True,False,True,342,False,False,False,True,3148,West
16,12,1,False,False,False,True,False,True,False,True,338,False,False,False,True,3147,East
17,12,1,False,False,False,True,False,True,False,True,333,False,False,False,True,3146,East
17,11,1,False,False,False,True,False,False,False,True,0,False,False,False,False,3145,South
17,10,1,False,False,False,True,False,False,False,True,0,False,False,False,False,3244,South
18,10,1,False,False,False,True,False,False,False,True,0,False,False,False,False,3243,East
19,10,1,False,False,False,True,False,False,False,True,0,False,False,False,False,3242,East
20,10,1,False,False,False,True,False,False,False,True,0,False,False,False,False,3341,East
21,10,1,False,False,False,True,False,False,False,True,0,False,False,False,False,3440,East
22,10,0,False,False,False,False,False,True,True,False,203,False,False,False,False,3739,East
22,10,0,False,False,False,False,False,True,True,False,203,False,False,False,False,3739,East
4,12,4,True,True,True,True,False,True,False,True,324,False,False,False,True,-1,Stop
4,12,4,True,True,True,True,False,True,False,True,324,False,False,False,True,-2,Stop
5,12,4,True,True,True,True,False,True,False,True,320,False,False,False,True,-3,East
6,12,4,True,True,True,True,False,True,False,True,315,False,False,False,True,-4,East
7,12,4,True,True,True,True,False,True,False,True,309,False,False,False,True,95,East
7,11,4,True,True,True,True,False,True,False,True,315,False,False,False,False,194,South
7,10,4,True,True,True,True,False,True,False,True,323,False,False,False,False,293,South
7,9,4,True,True,True,True,False,True,False,True,333,False,False,False,False,392,South
7,8,4,True,True,True,True,False,True,False,True,346,False,False,False,False,491,South
7,7,4,True,True,True,True,False,False,False,True,0,False,False,False,False,590,South
7,6,4,True,True,True,True,False,True,False,True,304,False,False,False,False,689,South
7,5,4,True,True,True,True,False,True,False,True,315,False,False,False,False,788,South
7,4,4,True,True,True,True,False,True,False,True,333,False,False,False,False,887,South
7,3,4,True,True,True,True,False,False,False,True,0,False,True,False,False,986,South
8,3,4,True,True,True,True,False,False,False,True,0,False,True,False,False,1085,East
9,3,3,False,True,True,True,True,False,False,True,63,False,True,False,False,1284,East
9,4,3,False,True,True,True,True,False,False,True,56,False,False,False,False,1283,North
9,5,3,False,True,True,True,True,False,False,True,45,False,False,False,False,1282,North
9,6,3,False,True,True,True,True,False,False,True,27,False,False,False,False,1381,North
10,6,3,False,True,True,True,True,False,False,True,45,False,False,False,False,1480,East
11,6,3,False,True,True,True,True,False,False,False,90,False,False,False,False,1479,East
11,7,2,False,False,True,True,True,False,False,True,32,False,False,False,False,1678,North
11,8,2,False,False,True,True,True,False,False,True,27,False,False,False,False,1777,North
12,8,2,False,False,True,True,True,False,False,True,30,False,False,False,False,1876,East
13,8,2,False,False,True,True,True,False,False,True,34,False,False,False,False,1875,East
14,8,2,False,False,True,True,True,False,False,True,39,False,False,False,False,1874,East
15,8,2,False,False,True,True,True,False,False,True,45,False,False,False,False,1973,East
15,9,2,False,False,True,True,True,False,False,True,37,False,False,False,False,1972,North
15,10,2,False,False,True,True,True,False,False,True,27,False,False,False,False,2071,North
16,10,2,False,False,True,True,True,False,False,True,34,False,False,False,False,2170,East
17,10,2,False,False,True,True,True,False,False,True,45,False,False,False,False,2269,East
18,10,2,False,False,True,True,True,False,False,True,63,False,False,False,False,2268,East
18,11,2,False,False,True,True,True,False,False,True,45,False,False,False,False,2267,North
18,12,2,False,False,True,True,False,False,False,True,0,False,False,False,True,2366,North
19,12,1,False,False,False,True,False,True,False,True,315,False,False,False,True,2565,East
20,12,1,False,False,False,True,False,True,False,True,304,False,False,False,True,2664,East
21,12,1,False,False,False,True,False,True,False,True,288,False,False,False,True,2663,East
22,12,1,False,False,False,True,False,True,False,False,270,False,False,False,True,2662,East
22,11,1,False,False,False,True,False,True,False,False,270,False,False,False,False,2761,South
22,10,1,False,False,False,True,False,True,False,False,270,False,False,False,False,2860,South
22,9,0,False,False,False,False,False,True,True,False,201,False,False,False,False,3059,South
22,9,0,False,False,False,False,False,True,True,False,201,False,False,False,False,3059,South
1,6,4,True,True,True,True,False,True,False,True,338,True,False,False,True,-1,Stop
1,6,4,True,True,True,True,False,True,False,True,333,True,False,False,True,-2,Stop
1,6,4,True,True,True,True,False,False,False,True,0,True,False,False,True,-3,Stop
2,6,4,True,True,True,True,False,False,False,True,0,False,True,False,True,-4,East
3,6,4,True,True,True,True,False,True,False,False,270,False,True,False,True,-5,East
4,6,4,True,True,True,True,False,False,False,True,0,False,True,False,True,-6,East
5,6,3,True,False,True,True,False,True,True,False,225,False,True,False,True,193,East
6,6,3,True,False,True,True,False,True,True,False,217,False,True,False,True,192,East
7,6,3,True,False,True,True,False,True,False,True,323,False,False,False,True,191,East
7,5,3,True,False,True,True,False,True,False,True,346,True,False,True,False,190,South
7,4,3,True,False,True,True,False,False,False,True,0,False,False,False,False,189,South
6,4,3,True,False,True,True,False,True,True,False,198,False,False,False,True,188,West
5,4,3,True,False,True,True,False,True,True,False,225,False,False,False,True,187,West
5,3,2,False,False,True,True,False,False,False,True,0,False,True,False,False,386,South
5,4,2,False,False,True,True,False,False,False,True,0,False,False,False,True,385,North
6,4,2,False,False,True,True,False,False,False,True,0,False,False,False,True,384,East
7,4,2,False,False,True,True,False,False,False,True,0,False,False,False,False,383,East
8,4,2,False,False,True,True,False,False,False,True,0,False,False,False,True,382,East
9,4,2,False,False,True,True,False,False,False,True,0,False,False,False,True,381,East
10,4,2,False,False,True,True,False,False,False,True,0,False,False,False,True,380,East
11,4,1,False,False,False,True,True,False,False,True,8,False,False,False,True,579,East
12,4,1,False,False,False,True,True,False,False,True,9,False,False,False,True,578,East
13,4,1,False,False,False,True,True,False,False,True,11,False,False,False,True,577,East
14,4,1,False,False,False,True,False,False,False,True,0,False,False,False,False,576,East
14,5,1,False,False,False,True,False,True,False,True,333,True,False,True,False,575,North
14,6,1,False,False,False,True,False,True,False,True,323,False,False,False,True,574,North
15,6,1,False,False,False,True,False,True,False,True,315,False,True,False,True,573,East
16,6,1,False,False,False,True,False,True,False,True,288,False,False,False,True,572,East
16,5,1,False,False,False,True,False,True,False,True,315,True,False,True,False,571,South
16,4,1,False,False,False,True,False,False,False,True,0,False,False,False,False,570,South
16,4,0,False,False,False,False,False,True,True,False,191,False,False,False,False,770,West
1,6,4,True,True,True,True,False,True,False,True,338,True,False,False,True,-1,Stop
1,6,4,True,True,True,True,False,True,False,True,338,True,False,False,True,-2,Stop
2,6,4,True,True,True,True,False,True,False,True,333,False,True,False,True,-3,East
3,6,4,True,True,True,True,False,True,False,True,326,False,True,False,True,-4,East
4,6,4,True,True,True,True,False,True,False,True,315,False,True,False,True,-5,East
5,6,4,True,True,True,True,False,True,False,True,297,False,True,False,True,-6,East
6,6,4,True,True,True,True,False,True,False,False,270,False,True,False,True,-7,East
