@RELATION training_tutorial1

@ATTRIBUTE positionX NUMERIC
@ATTRIBUTE positionY NUMERIC
@ATTRIBUTE numGhosts NUMERIC
@ATTRIBUTE alive1 {True, False}
@ATTRIBUTE alive2 {True, False}
@ATTRIBUTE alive3 {True, False}
@ATTRIBUTE alive4 {True, False}
@ATTRIBUTE position1X NUMERIC
@ATTRIBUTE position1Y NUMERIC
@ATTRIBUTE position2X NUMERIC
@ATTRIBUTE position2Y NUMERIC
@ATTRIBUTE position3X NUMERIC
@ATTRIBUTE position3Y NUMERIC
@ATTRIBUTE position4X NUMERIC
@ATTRIBUTE position4Y NUMERIC
@ATTRIBUTE distance1 NUMERIC
@ATTRIBUTE distance2 NUMERIC
@ATTRIBUTE distance3 NUMERIC
@ATTRIBUTE distance4 NUMERIC
@ATTRIBUTE nearestGhostUp {True, False}
@ATTRIBUTE nearestGhostDown {True, False}
@ATTRIBUTE nearestGhostLeft {True, False}
@ATTRIBUTE nearestGhostRight {True, False}
@ATTRIBUTE angleClosestGhost NUMERIC
@ATTRIBUTE hasWallEast {True, False}
@ATTRIBUTE hasWallSouth {True, False}
@ATTRIBUTE hasWallWest {True, False}
@ATTRIBUTE hasWallNorth {True, False}
@ATTRIBUTE distanceNearestFood NUMERIC
@ATTRIBUTE actualScore NUMERIC
@ATTRIBUTE foodCount NUMERIC
@ATTRIBUTE movement {Stop, South, East, West, North}
@ATTRIBUTE nextScore NUMERIC
@ATTRIBUTE nextNumGhost NUMERIC
@ATTRIBUTE nextFoodCount NUMERIC


@data
17,7,1,False,False,True,False,1,1,3,1,15,11,7,1,-1,-1,6,-1,True,False,True,False,117,True,False,True,False,-1,566,0,North,565,1,0
17,8,1,False,False,True,False,1,1,3,1,15,11,7,1,-1,-1,5,-1,True,False,True,False,124,False,False,False,False,-1,565,0,North,564,1,0
17,9,1,False,False,True,False,1,1,3,1,15,10,7,1,-1,-1,3,-1,True,False,True,False,153,True,False,True,False,-1,564,0,North,563,1,0
17,10,1,False,False,True,False,1,1,3,1,15,10,7,1,-1,-1,2,-1,False,False,True,False,180,False,False,False,False,-1,563,0,North,762,0,0
16,10,0,False,False,False,False,1,1,3,1,16,10,7,1,-1,-1,-1,-1,False,True,True,False,211,False,True,False,True,-1,762,0,West,762,0,0
16,10,0,False,False,False,False,1,1,3,1,16,10,7,1,-1,-1,-1,-1,False,True,True,False,211,False,True,False,True,-1,762,0,West,762,0,0
9,4,4,True,True,True,True,1,4,3,10,13,10,17,4,8,12,10,8,False,False,True,False,180,False,False,False,False,-1,-1,0,North,-2,4,0
8,4,4,True,True,True,True,1,4,3,10,13,10,17,4,7,11,11,9,False,False,True,False,180,False,True,False,True,-1,-2,0,West,-3,4,0
7,4,4,True,True,True,True,1,4,3,10,13,10,17,4,6,10,12,10,False,False,True,False,180,False,False,False,False,-1,-3,0,West,-4,4,0
6,4,4,True,True,True,True,1,4,3,10,13,10,17,4,5,9,13,11,False,False,True,False,180,False,True,False,True,-1,-4,0,West,-5,4,0
5,4,4,True,True,True,True,1,4,3,10,13,10,17,4,4,8,14,12,False,False,True,False,180,False,False,False,False,-1,-5,0,West,-6,4,0
4,4,4,True,True,True,True,1,4,3,10,13,10,17,4,3,7,15,13,False,False,True,False,180,False,True,False,True,-1,-6,0,West,-7,4,0
3,4,4,True,True,True,True,1,4,3,10,13,10,17,4,2,6,16,14,False,False,True,False,180,False,False,False,False,-1,-7,0,West,-8,4,0
2,4,4,True,True,True,True,1,4,3,10,13,10,17,4,1,7,17,15,False,False,True,False,180,False,True,False,True,-1,-8,0,West,191,3,0
1,4,3,False,True,True,True,1,4,3,10,13,10,17,4,-1,8,18,16,True,False,False,True,72,True,False,False,False,-1,191,0,West,190,3,0
1,5,3,False,True,True,True,1,1,3,10,13,10,17,4,-1,7,17,17,True,False,False,True,68,True,False,True,False,-1,190,0,North,189,3,0
1,6,3,False,True,True,True,1,1,3,10,13,10,17,4,-1,6,16,18,True,False,False,True,63,True,False,False,False,-1,189,0,North,188,3,0
1,7,3,False,True,True,True,1,1,3,10,13,10,17,4,-1,5,15,19,True,False,False,True,56,True,False,True,False,-1,188,0,North,187,3,0
1,8,3,False,True,True,True,1,1,3,10,13,10,17,4,-1,4,14,20,True,False,False,True,45,True,False,False,False,-1,187,0,North,186,3,0
1,9,3,False,True,True,True,1,1,3,10,13,10,17,4,-1,3,13,21,True,False,False,True,27,True,False,True,False,-1,186,0,North,185,3,0
1,10,3,False,True,True,True,1,1,3,10,13,10,17,4,-1,2,12,22,False,False,False,True,0,True,False,False,False,-1,185,0,North,184,3,0
2,10,3,False,True,True,True,1,1,3,10,13,10,17,4,-1,1,11,21,False,False,False,True,0,False,True,False,True,-1,184,0,East,383,2,0
3,10,2,False,False,True,True,1,1,3,10,13,10,17,4,-1,-1,10,20,False,False,False,True,0,False,False,False,False,-1,383,0,East,382,2,0
4,10,2,False,False,True,True,1,1,3,1,13,10,17,4,-1,-1,9,19,False,False,False,True,0,False,True,False,True,-1,382,0,East,381,2,0
5,10,2,False,False,True,True,1,1,3,1,13,10,17,4,-1,-1,8,18,False,False,False,True,0,False,False,False,False,-1,381,0,East,380,2,0
6,10,2,False,False,True,True,1,1,3,1,13,10,17,4,-1,-1,7,17,False,False,False,True,0,False,True,False,True,-1,380,0,East,379,2,0
7,10,2,False,False,True,True,1,1,3,1,13,10,17,4,-1,-1,6,16,False,False,False,True,0,False,False,False,False,-1,379,0,East,378,2,0
8,10,2,False,False,True,True,1,1,3,1,13,10,17,4,-1,-1,5,15,False,False,False,True,0,False,True,False,True,-1,378,0,East,377,2,0
9,10,2,False,False,True,True,1,1,3,1,13,10,17,4,-1,-1,4,14,False,False,False,True,0,False,False,False,False,-1,377,0,East,376,2,0
10,10,2,False,False,True,True,1,1,3,1,13,10,17,4,-1,-1,3,13,False,False,False,True,0,False,True,False,True,-1,376,0,East,375,2,0
11,10,2,False,False,True,True,1,1,3,1,13,10,17,4,-1,-1,2,12,False,False,False,True,0,False,False,False,False,-1,375,0,East,374,2,0
12,10,2,False,False,True,True,1,1,3,1,13,10,17,4,-1,-1,1,11,False,False,False,True,0,False,True,False,True,-1,374,0,East,573,1,0
13,10,1,False,False,False,True,1,1,3,1,13,10,17,4,-1,-1,-1,10,False,True,False,True,304,False,False,False,False,-1,573,0,East,572,1,0
13,9,1,False,False,False,True,1,1,3,1,5,1,17,4,-1,-1,-1,9,False,True,False,True,309,True,False,True,False,-1,572,0,South,571,1,0
13,8,1,False,False,False,True,1,1,3,1,5,1,17,4,-1,-1,-1,8,False,True,False,True,315,False,False,False,False,-1,571,0,South,570,1,0
13,7,1,False,False,False,True,1,1,3,1,5,1,17,4,-1,-1,-1,7,False,True,False,True,323,True,False,True,False,-1,570,0,South,569,1,0
13,6,1,False,False,False,True,1,1,3,1,5,1,17,4,-1,-1,-1,6,False,True,False,True,333,False,False,False,False,-1,569,0,South,568,1,0
13,5,1,False,False,False,True,1,1,3,1,5,1,17,4,-1,-1,-1,5,False,True,False,True,346,True,False,True,False,-1,568,0,South,567,1,0
13,4,1,False,False,False,True,1,1,3,1,5,1,17,4,-1,-1,-1,4,False,False,False,True,0,False,False,False,False,-1,567,0,South,566,1,0
14,4,1,False,False,False,True,1,1,3,1,5,1,17,4,-1,-1,-1,3,False,False,False,True,0,False,True,False,True,-1,566,0,East,565,1,0
15,4,1,False,False,False,True,1,1,3,1,5,1,17,4,-1,-1,-1,2,False,False,False,True,0,False,False,False,False,-1,565,0,East,564,1,0
16,4,1,False,False,False,True,1,1,3,1,5,1,17,4,-1,-1,-1,1,False,False,False,True,0,False,True,False,True,-1,564,0,East,763,0,0
17,4,0,False,False,False,False,1,1,3,1,5,1,17,4,-1,-1,-1,-1,False,True,True,False,191,False,False,True,False,-1,763,0,East,763,0,0
17,4,0,False,False,False,False,1,1,3,1,5,1,17,4,-1,-1,-1,-1,False,True,True,False,191,False,False,True,False,-1,763,0,East,763,0,0
5,5,4,True,True,True,True,2,3,2,7,11,4,11,7,5,5,7,8,False,True,True,False,214,False,False,False,False,1,99,18,West,198,4,17
5,6,4,True,True,True,True,1,3,2,6,11,4,10,7,7,3,8,6,False,False,True,False,180,False,False,True,False,1,198,17,North,297,4,16
5,7,4,True,True,True,True,2,3,2,7,11,5,10,7,7,3,8,5,False,False,True,False,180,False,False,False,True,1,297,16,North,296,4,16
5,6,4,True,True,True,True,1,3,2,6,11,4,10,7,7,3,8,6,False,False,True,False,180,False,False,True,False,1,296,16,South,295,4,16
5,7,4,True,True,True,True,1,3,2,7,11,3,11,7,8,3,10,6,False,False,True,False,180,False,False,False,True,1,295,16,North,294,4,16
4,7,4,True,True,True,True,1,3,2,7,11,4,11,7,7,2,10,7,False,False,True,False,180,False,False,False,True,1,294,16,West,493,3,16
3,7,3,True,False,True,True,1,3,3,7,11,3,10,7,6,-1,12,7,False,True,True,False,243,False,False,False,True,2,493,16,West,492,3,16
3,6,3,True,False,True,True,2,3,3,1,11,3,9,7,4,-1,11,7,False,True,True,False,252,False,True,False,False,1,492,16,South,491,3,16
2,6,3,True,False,True,True,2,3,3,1,11,3,9,7,3,-1,12,8,False,True,False,False,270,False,False,False,False,2,491,16,West,490,3,16
2,5,3,True,False,True,True,2,4,3,1,12,3,8,7,1,-1,12,8,False,True,False,False,270,False,False,True,False,3,490,16,South,489,3,16
2,4,3,True,False,True,True,2,3,3,1,12,4,8,7,1,-1,10,9,False,True,False,False,270,False,False,False,False,2,489,16,South,688,2,16
