@RELATION training_keyboard

@ATTRIBUTE positionX NUMERIC
@ATTRIBUTE positionY NUMERIC
@ATTRIBUTE numGhosts NUMERIC
@ATTRIBUTE alive1 {True, False}
@ATTRIBUTE alive2 {True, False}
@ATTRIBUTE alive3 {True, False}
@ATTRIBUTE alive4 {True, False}
@ATTRIBUTE position1X NUMERIC
@ATTRIBUTE position1Y NUMERIC
@ATTRIBUTE position2X NUMERIC
@ATTRIBUTE position2Y NUMERIC
@ATTRIBUTE position3X NUMERIC
@ATTRIBUTE position3Y NUMERIC
@ATTRIBUTE position4X NUMERIC
@ATTRIBUTE position4Y NUMERIC
@ATTRIBUTE distance1 NUMERIC
@ATTRIBUTE distance2 NUMERIC
@ATTRIBUTE distance3 NUMERIC
@ATTRIBUTE distance4 NUMERIC
@ATTRIBUTE distanceNearestFood NUMERIC
@ATTRIBUTE actualScore NUMERIC
@ATTRIBUTE foodCount NUMERIC
@ATTRIBUTE movement {Stop, South, East, West, North}
@ATTRIBUTE nextScore NUMERIC
@ATTRIBUTE nextNumGhost NUMERIC
@ATTRIBUTE nextFoodCount NUMERIC

@data
16,11,2,True,False,True,False,7,9,3,1,6,9,7,1,11,-1,12,-1,-1,451,0,South,450,2,0
16,10,2,True,False,True,False,7,10,3,1,6,10,7,1,9,-1,10,-1,-1,450,0,South,449,2,0
16,9,2,True,False,True,False,7,11,3,1,7,10,7,1,11,-1,10,-1,-1,449,0,South,448,2,0
15,9,2,True,False,True,False,7,11,3,1,8,10,7,1,10,-1,8,-1,-1,448,0,West,447,2,0
14,9,2,True,False,True,False,6,11,3,1,9,10,7,1,10,-1,6,-1,-1,447,0,West,446,2,0
13,9,2,True,False,True,False,6,10,3,1,9,10,7,1,8,-1,5,-1,-1,446,0,West,445,2,0
12,9,2,True,False,True,False,6,10,3,1,10,10,7,1,7,-1,3,-1,-1,445,0,West,444,2,0
11,9,2,True,False,True,False,6,9,3,1,10,9,7,1,5,-1,1,-1,-1,444,0,West,643,1,0
10,9,1,True,False,False,False,7,9,3,1,5,1,7,1,3,-1,-1,-1,-1,643,0,West,642,1,0
9,9,1,True,False,False,False,7,10,3,1,5,1,7,1,3,-1,-1,-1,-1,642,0,West,641,1,0
8,9,1,True,False,False,False,7,9,3,1,5,1,7,1,1,-1,-1,-1,-1,641,0,West,840,0,0
7,9,0,False,False,False,False,7,9,3,1,5,1,7,1,-1,-1,-1,-1,-1,840,0,West,840,0,0
12,10,4,True,True,True,True,5,6,5,12,13,6,13,12,11,9,5,3,7,-1,1,Stop,-2,4,1
12,10,4,True,True,True,True,5,6,5,12,13,6,13,12,11,9,5,3,7,-2,1,Stop,-3,4,1
12,10,4,True,True,True,True,5,6,5,12,13,6,13,12,11,9,5,3,7,-3,1,Stop,-4,4,1
13,10,4,True,True,True,True,5,6,5,12,13,6,13,12,12,10,4,2,6,-4,1,East,-5,4,1
14,10,4,True,True,True,True,5,6,5,12,13,6,13,12,13,11,5,3,5,-5,1,East,-6,4,1
14,11,4,True,True,True,True,5,6,5,12,13,6,13,12,14,10,6,2,6,-6,1,North,-7,4,1
14,12,4,True,True,True,True,5,6,5,12,13,6,13,12,15,9,7,1,7,-7,1,North,192,3,1
13,12,3,True,True,True,False,5,6,5,12,13,6,7,1,14,8,6,-1,8,192,1,West,191,3,1
12,12,3,True,True,True,False,5,6,5,12,13,6,7,1,13,7,7,-1,9,191,1,West,190,3,1
11,12,3,True,True,True,False,5,6,5,12,13,6,7,1,12,6,8,-1,10,190,1,West,189,3,1
10,12,3,True,True,True,False,5,6,5,12,13,6,7,1,11,5,9,-1,11,189,1,West,188,3,1
9,12,3,True,True,True,False,5,6,5,12,13,6,7,1,10,4,10,-1,12,188,1,West,187,3,1
8,12,3,True,True,True,False,5,6,5,12,13,6,7,1,9,3,11,-1,13,187,1,West,186,3,1
7,12,3,True,True,True,False,5,6,5,12,13,6,7,1,8,2,12,-1,14,186,1,West,185,3,1
6,12,3,True,True,True,False,5,6,5,12,13,6,7,1,7,1,13,-1,15,185,1,West,384,2,1
5,12,2,True,False,True,False,5,6,3,1,13,6,7,1,6,-1,14,-1,16,384,1,West,383,2,1
6,12,2,True,False,True,False,5,6,3,1,13,6,7,1,7,-1,13,-1,15,383,1,East,382,2,1
7,12,2,True,False,True,False,5,6,3,1,13,6,7,1,8,-1,12,-1,14,382,1,East,381,2,1
8,12,2,True,False,True,False,5,6,3,1,13,6,7,1,9,-1,11,-1,13,381,1,East,380,2,1
9,12,2,True,False,True,False,5,6,3,1,13,6,7,1,10,-1,10,-1,12,380,1,East,379,2,1
10,12,2,True,False,True,False,5,6,3,1,13,6,7,1,11,-1,9,-1,11,379,1,East,378,2,1
11,12,2,True,False,True,False,5,6,3,1,13,6,7,1,12,-1,8,-1,10,378,1,East,377,2,1
12,12,2,True,False,True,False,5,6,3,1,13,6,7,1,13,-1,7,-1,9,377,1,East,376,2,1
13,12,2,True,False,True,False,5,6,3,1,13,6,7,1,14,-1,6,-1,8,376,1,East,375,2,1
14,12,2,True,False,True,False,5,6,3,1,13,6,7,1,15,-1,7,-1,7,375,1,East,374,2,1
